iare_code,Indigenous Area name,Indigenous low-income family rate,Non-indigenous low-income family rate,Indigenous unemployment rate,Non-indigenous unemployment rate,Indigenous Primary-school dropout ASR_per_100,Non-indigenous Primary-school dropout ASR_per_100,Indigenous middle_school_participation rate,Non-indigenous middle_school_participation rate,Indigenous internet access rate,Non-indigenous internet access rate,Indigenous social engagement rate,Non-indigenous social engagement rate
IARE202006,Geelong - Queenscliff,14.43089430894309,6.4433801229678,12.694877505567929,6.275645448273358,46.71112914616516,29.743584863770003,82.6923076923077,88.22429906542057,79.9011532125206,81.01316773043528,77.61506276150628,89.62763125199673
IARE202007,Gippsland,13.397790055248619,7.83968189417559,17.706576728499158,6.084757873907547,53.799287573567696,35.02010800268635,70.27027027027027,84.33734939759037,64.65324384787472,76.47777234978017,69.32153392330383,85.73087343568572
IARE201006,Greater Dandenong,17.050691244239633,11.242680886658302,21.22905027932961,10.232320806819546,48.2630207287748,34.436403036873344,100,89.42942942942943,69.85294117647058,79.33227015719818,64.8936170212766,86.51016117729502
IARE201007,Knox,9.455587392550143,5.2975754857291255,9.30232558139535,5.559524982753524,50.37163140237896,26.28142791439329,75,92.6539058458355,84.7328244274809,87.87742310795849,86.06060606060606,92.37336368810473
IARE202008,Latrobe,15.625,8.05590711495075,26.666666666666664,9.431520469682143,60.824083278944,37.13603712208614,94.44444444444444,85.45688545688546,74.82876712328768,77.3723965972426,60.73059360730594,82.97715549005159
IARE202009,Macedon Ranges - Moorabool,12.794612794612794,5.2798920897967045,10.588235294117649,4.896122800052931,49.86343598352629,29.160244280222948,100,89.82035928143712,80.1186943620178,85.18797558954269,77.47747747747748,90.9068746952706
IARE201008,Maribyrnong - Moonee Valley,12.021857923497267,6.689711671029233,12.636165577342048,6.733672146352082,37.34623790187102,23.062421902966687,66.66666666666666,93.75,81.66666666666667,82.94515606495787,82.75862068965517,92.73520565933833
IARE201009,Maroondah,8.42911877394636,5.292743218990214,7.563025210084034,5.204726190683349,44.71449884538536,25.72072922691595,76.92307692307693,91.32530120481928,80.64516129032258,87.6333106421602,81,92.71471188569635
IARE201010,Melbourne - East,7.35632183908046,4.9744394861601995,8,5.3624077704775726,27.767635403930722,13.728678191242274,114.28571428571428,95.49671108112666,86.29518072289156,88.96569124750975,86.93693693693693,95.66035988765086
IARE201011,Melbourne - North-East,13.498098859315588,5.705983196955512,8.51063829787234,5.446067682878504,39.923674744336004,21.141789313725624,73.68421052631578,93.88150609080841,82.20064724919094,87.62926377527396,88.23529411764706,93.92154683853762
IARE201012,Melbourne - Port Phillip,11.232876712328768,7.729202353466895,10.67251461988304,7.387979081904127,32.85223451349337,12.520192694805866,100,85.55858310626702,78.59778597785979,88.37391873228174,88.51351351351352,94.54880912445488
IARE201013,Melton,11.895161290322582,6.61287543789123,14.25531914893617,7.56226509255938,53.62684440111707,33.11169416993199,111.11111111111111,89.26886792452831,85.17857142857143,86.46375261340982,71.65991902834008,86.70428063289587
IARE202010,Mildura,17.52021563342318,7.559345471306752,23.217247097844112,6.865837026934879,66.19723067817671,39.49536758032666,66.0377358490566,87.52025931928688,67.78900112233445,74.2550718512257,62.01550387596899,85.9847169155957
IARE201014,Monash,12.804878048780488,8.600305110602594,11.363636363636363,7.946874928007003,35.543733695719254,19.17398126352528,80,93.64046069103655,83.57487922705315,86.47005708020252,83.17757009345794,95.3101779851391
IARE201015,Moreland - Broadmeadows,12.5,8.250452484633444,13.35740072202166,7.88844257805368,40.339668706895495,28.817725819357776,76.47058823529412,87.51933986591027,81.85538881309687,80.6130504502282,71.08433734939759,88.14230698697965
IARE201016,Mornington Peninsula,10.892857142857142,5.553803226980468,10.285714285714286,4.853037790282499,43.23289838914209,27.73843424043171,92.85714285714286,88.57822724568709,80.90062111801242,83.33508348209597,82.52032520325203,91.15351826349269
IARE201017,Northcote - Preston - Whittlesea,12.337662337662337,7.467948354625525,12.521588946459413,7.134447566927969,48.65039602897003,28.38861737844231,85.41666666666666,89.48148148148148,79.62016070124179,82.19915417147251,78.40466926070039,90.2779146545777
IARE202011,South Gippsland - Bass Coast,15.019762845849801,8.454773869346734,14.948453608247423,5.563480741797433,43.11961613259525,32.96901110888579,100,86.62519440124416,79.80132450331125,77.76657423745904,78.57142857142857,86.90476190476191
